Sample 	Min_coverage	Max_coverage	Average_coverage	Min_quality	Max_quality	Average_quality	%_Missing_sites(N)
HU-27-EX1-OT3-MBTA_A_PB1	 3	 76	 37.95	 33.20	 39.00	 37.63	 68.48
HU-27-EX1-OT3-MBTA_A_PB2	 183	 633	 412.33	 36.11	 38.59	 37.78	 0.00
HU-28-EX1-OT1-MBTR_A_HA_H1	 157	 1507	 1160.02	 36.03	 38.83	 38.12	 0.00
HU-28-EX1-OT1-MBTR_A_MP	 2480	 20452	 15198.30	 35.30	 38.68	 38.12	 0.00
HU-28-EX1-OT1-MBTR_A_NA_N1	 467	 3930	 2697.84	 36.64	 38.76	 38.17	 0.00
HU-28-EX1-OT1-MBTR_A_NP	 255	 1922	 1548.99	 32.69	 38.74	 38.06	 0.00
HU-28-EX1-OT1-MBTR_A_NS	 3140	 16354	 12718.80	 34.05	 38.68	 38.02	 0.00
HU-28-EX1-OT1-MBTR_A_PA	 229	 753	 435.08	 36.15	 38.87	 38.13	 0.00
HU-28-EX1-OT1-MBTR_A_PB1	 22	 3772	 303.44	 35.81	 38.98	 38.16	 42.86
HU-28-EX1-OT1-MBTR_A_PB2	 141	 554	 422.08	 36.41	 38.77	 38.13	 0.00
HU-28-EX1-OT2-UNI_A_HA_H1	 434	 13449	 7958.58	 34.58	 38.66	 37.81	 0.00
HU-28-EX1-OT2-UNI_A_MP	 1829	 20620	 14473.70	 33.91	 38.58	 37.88	 0.00
HU-28-EX1-OT2-UNI_A_NA_N1	 320	 4696	 3367.58	 34.74	 38.67	 37.88	 0.00
HU-28-EX1-OT2-UNI_A_NP	 597	 7397	 5767.32	 32.87	 38.59	 37.71	 0.00
HU-28-EX1-OT2-UNI_A_NS	 1650	 14077	 9800.61	 33.41	 38.61	 37.86	 0.00
HU-28-EX1-OT2-UNI_A_PA	 415	 2833	 1937.89	 34.85	 38.82	 37.77	 0.00
HU-28-EX1-OT2-UNI_A_PB1	 4	 641	 163.83	 36.23	 39.00	 38.03	 27.91
HU-28-EX1-OT2-UNI_A_PB2	 1007	 7144	 5511.44	 34.86	 38.59	 37.75	 0.00
HU-28-EX1-OT3-MBTA_A_HA_H1	 15	 192	 149.29	 35.50	 38.79	 37.71	 4.00
HU-28-EX1-OT3-MBTA_A_MP	 583	 4753	 3436.31	 34.33	 38.52	 37.78	 0.00
HU-28-EX1-OT3-MBTA_A_NA_N1	 77	 931	 634.25	 35.52	 38.73	 37.79	 0.00
HU-28-EX1-OT3-MBTA_A_NP	 60	 348	 272.00	 33.43	 38.65	 37.54	 0.00
HU-28-EX1-OT3-MBTA_A_NS	 662	 3423	 2539.28	 33.95	 38.55	 37.69	 0.00
HU-28-EX1-OT3-MBTA_A_PA	 2	 16	 8.07	 30.80	 39.25	 38.05	 99.95
HU-28-EX1-OT3-MBTA_A_PB1	 1	 276	 32.83	 32.75	 40.00	 38.34	 86.97
HU-28-EX1-OT3-MBTA_A_PB2	 10	 26	 17.68	 32.85	 39.00	 37.89	 99.96
